title,rating,ranking
Ballroom e Youkoso,8.20,311
Berserk: Ougon Jidai-hen III - Kourin,8.20,312
Bungou Stray Dogs 2nd Season,8.20,313
Bungou Stray Dogs 3rd Season,8.20,314
Dr. Stone: Stone Wars,8.20,315
Fate/stay night: Unlimited Blade Works,8.20,316
Girls & Panzer Movie,8.20,317
Higurashi no Naku Koro ni Kai,8.20,318
Liz to Aoi Tori,8.20,319
Naruto: Shippuuden,8.20,320
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.20,321
Non Non Biyori Repeat,8.19,322
Noragami Aragoto,8.19,323
Senki Zesshou Symphogear XV,8.19,324
Shoujo Kakumei Utena,8.19,325
Shoujo Shuumatsu Ryokou,8.19,326
86,8.19,327
Aria the Natural,8.19,328
Asobi Asobase,8.19,329
Douluo Dalu: Jingying Sai,8.19,330
Hunter x Hunter: Greed Island,8.19,331
Maison Ikkoku,8.19,332
Major: Message,8.19,333
Mo Dao Zu Shi Q,8.19,334
Black Lagoon: The Second Barrage,8.18,335
Death Parade,8.18,336
Digimon Adventure: Last Evolution Kizuna,8.18,337
Hinamatsuri (TV),8.18,338
Kamisama Hajimemashita◎,8.18,339
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,8.18,340
Ouran Koukou Host Club,8.18,341
Working!!!: Lord of the Takanashi,8.18,342
Nisemonogatari,8.17,343
One Piece Film: Z,8.17,344
Detective Conan Movie 20: The Darkest Nightmare,8.17,345
Natsume Yuujinchou Shi,8.66,55
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.65,56
Tengen Toppa Gurren Lagann,8.65,57
Violet Evergarden,8.65,58
Natsume Yuujinchou Roku,8.64,59
Shingeki no Kyojin Season 3,8.63,60
Suzumiya Haruhi no Shoushitsu,8.63,61
Death Note,8.63,62
Ping Pong the Animation,8.62,63
Mushishi Zoku Shou: Suzu no Shizuku,8.61,64
Ookami Kodomo no Ame to Yuki,8.61,65
Kizumonogatari II: Nekketsu-hen,8.60,66
Hajime no Ippo: Rising,8.59,67
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.59,68
Mo Dao Zu Shi: Wanjie Pian,8.59,69
Shouwa Genroku Rakugo Shinjuu,8.59,70
Yojouhan Shinwa Taikei,8.59,71
Natsume Yuujinchou Go,8.58,72
Natsume Yuujinchou San,8.58,73
One Piece,8.58,74
Yakusoku no Neverland,8.58,75
Fate/Zero 2nd Season,8.58,76
Fruits Basket 2nd Season,8.58,77
Kimetsu no Yaiba,8.58,78
Kimi no Suizou wo Tabetai,8.58,79
Josee to Tora to Sakana-tachi,8.57,80
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,81
Mushishi: Hihamukage,8.56,82
Zoku Natsume Yuujinchou,8.56,83
Bakuman. 3rd Season,8.56,84
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.56,85
Kara no Kyoukai 5: Mujun Rasen,8.55,86
Sora yori mo Tooi Basho,8.55,87
Neon Genesis Evangelion: The End of Evangelion,8.54,88
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.54,89
Yuru Camp△ Season 2,8.54,90
Fumetsu no Anata e,8.54,91
Haikyuu!!: To the Top 2nd Season,8.54,92
Gintama.: Porori-hen,8.53,93
5-toubun no Hanayome ∬,8.16,346
Akira,8.16,347
Detective Conan,8.16,348
Douluo Dalu: Hao Tian Yang Wei,8.16,349
Gankutsuou,8.16,350
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.53,94
One Punch Man,8.53,95
Slam Dunk,8.53,96
Tian Guan Ci Fu Special,8.52,97
Ansatsu Kyoushitsu 2nd Season,8.52,98
Gintama Movie 1: Shinyaku Benizakura-hen,8.52,99
Aria the Origination,8.51,100
Hyouka,8.12,401
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",8.12,402
Kanata no Astra,8.12,403
Kuragehime,8.12,404
Tsubasa: Shunraiki,8.12,405
Tsukimonogatari,8.12,406
Uchouten Kazoku 2,8.12,407
Ramayana: The Legend of Prince Rama,8.11,408
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,8.11,409
Skip Beat!,8.11,410
Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.11,411
Yuukoku no Moriarty,8.11,412
Zankyou no Terror,8.11,413
Angel Beats!,8.11,414
Ansatsu Kyoushitsu,8.11,415
Diamond no Ace,8.11,416
Dragon Ball Super: Broly,8.11,417
Kaze Tachinu,8.11,418
Gin no Saji,8.10,419
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,8.10,420
Karakai Jouzu no Takagi-san 2,8.10,421
Kuroko no Basket,8.10,422
Kuroko no Basket: Saikou no Present Desu,8.10,423
Mobile Suit Gundam 00 Second Season,8.10,424
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,8.10,425
Tensei shitara Slime Datta Ken,8.10,426
Pui Pui Molcar,8.09,427
World Trigger 2nd Season,8.09,428
Yowamushi Pedal: Grande Road,8.09,429
Yuusha-Ou GaoGaiGar Final,8.09,430
Akatsuki no Yona OVA,8.09,431
Darker than Black: Kuro no Keiyakusha,8.09,432
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,8.09,433
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,8.09,434
Hajime no Ippo: Boxer no Kobushi,8.09,435
Hikaru no Go,8.09,436
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.09,437
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,8.09,438
Kuroshitsuji: Book of Circus,8.09,439
Kuroshitsuji: Book of Murder,8.09,440
Mirai Shounen Conan,8.09,441
Mobile Suit Gundam: The Origin - Advent of the Red Comet,8.09,442
Dennou Coil,8.08,443
Detective Conan Movie 08: Magician of the Silver Sky,8.08,444
Detective Conan Movie 18: The Sniper from Another Dimension,8.08,445
Dorohedoro,8.08,446
Durarara!!x2 Ketsu,8.08,447
Ginga Eiyuu Densetsu Gaiden (1999),8.08,448
Gosick,8.08,449
Haikyuu!! Movie 3: Sainou to Sense,8.08,450
Hanada Shounen-shi,8.00,551
Hibike! Euphonium,8.00,552
Kamisama Hajimemashita OVA,8.00,553
Kimi ni Todoke,8.00,554
Kimi ni Todoke 2nd Season,8.00,555
Kobayashi-san Chi no Maid Dragon,8.00,556
Koukaku Kidoutai 2.0,8.00,557
Major Movie: Yuujou no Winning Shot,8.00,558
Working!!!,8.00,559
xxxHOLiC,8.00,560
Osomatsu-san,7.99,561
